Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
387,History & Politics,Bachelors,55300.0,95200.0,58.0
387,Nursing Science,Bachelors,75600.0,95200.0,84.0
390,Global Business,Bachelors,62000.0,95100.0,31.0
390,Integrated Marketing Communications,Bachelors,53500.0,95100.0,38.0
392,American History (United States),Bachelors,58900.0,94900.0,49.0
393,Architectural Studies,Bachelors,50900.0,94800.0,38.0
393,Communication,Bachelors,54800.0,94800.0,46.0
393,Personnel Management,Bachelors,57900.0,94800.0,68.0
396,General Business,Bachelors,56300.0,94700.0,51.0
396,Interior Architecture,Bachelors,53500.0,94700.0,48.0
396,Public Affairs,Bachelors,59400.0,94700.0,52.0
396,Natural Sciences,Bachelors,49500.0,94700.0,54.0
400,Writing,Bachelors,49900.0,94600.0,44.0
401,Human Biology,Bachelors,57400.0,94500.0,72.0
401,Marketing & Mass Communications,Bachelors,53700.0,94500.0,40.0
401,Computer Art,Bachelors,44600.0,94500.0,33.0
404,French Language,Bachelors,56100.0,94100.0,48.0
404,Journalism,Bachelors,52300.0,94100.0,44.0
406,Interpersonal & Organizational Communication,Bachelors,47500.0,94000.0,72.0
406,Organizational Communication,Bachelors,52400.0,94000.0,48.0
406,Textile Design,Bachelors,56200.0,94000.0,36.0
409,Biology & Chemistry,Bachelors,55700.0,93900.0,66.0
409,Nursing,Bachelors,73100.0,93900.0,82.0
409,Public Relations & Communication,Bachelors,51700.0,93900.0,48.0
412,Environmental & Natural Resource Economics,Bachelors,58600.0,93700.0,66.0
413,Biology,Bachelors,53500.0,93600.0,65.0
413,Environmental Management,Bachelors,57500.0,93600.0,63.0
413,General & Strategic Management,Bachelors,56800.0,93600.0,52.0
416,Bachelor in Science Nursing,Bachelors,73700.0,93400.0,80.0
416,History,Bachelors,54300.0,93400.0,47.0
418,Literature,Bachelors,53200.0,93300.0,45.0
419,Law,Bachelors,59900.0,93200.0,51.0
420,Physiology,Bachelors,55500.0,93100.0,66.0
421,Entrepreneurial Studies,Bachelors,54800.0,93000.0,32.0
421,Public Relations (PR),Bachelors,51800.0,93000.0,43.0
421,Retail Management,Bachelors,60400.0,93000.0,39.0
424,Computer Aided Drafting & Design (CADD),Bachelors,56300.0,92900.0,49.0
424,Management & Organization,Bachelors,78600.0,92900.0,55.0
424,Agriculture,Bachelors,53600.0,92900.0,62.0
424,Music Technology,Bachelors,50900.0,92900.0,38.0
428,Administration of Justice,Bachelors,51300.0,92800.0,53.0
428,Publishing,Bachelors,52000.0,92800.0,40.0
428,Urban Studies,Bachelors,57700.0,92800.0,60.0
431,Media Studies,Bachelors,57000.0,92700.0,38.0
432,Apparel & Textile Manufacture,Bachelors,54200.0,92600.0,31.0
432,Philosophy & Religion,Bachelors,51300.0,92600.0,54.0
434,Environmental Geography,Bachelors,55900.0,92500.0,54.0
435,Communication Studies & Journalism,Bachelors,51200.0,92300.0,46.0
435,Interpersonal Communications,Bachelors,50200.0,92300.0,48.0
435,Logistics Management,Bachelors,66000.0,92300.0,38.0
435,Retail & Consumer Science,Bachelors,58800.0,92300.0,27.0
435,Web Design & Development,Bachelors,60100.0,92300.0,44.0
440,Accounting & Business,Bachelors,58700.0,92200.0,49.0
440,Architectural Technology,Bachelors,55700.0,92200.0,62.0
440,Geographic Information Systems (GIS),Bachelors,56100.0,92200.0,53.0
443,Environmental Studies,Bachelors,55000.0,92100.0,59.0
443,Interactive Media,Bachelors,61300.0,92100.0,39.0
445,Retail Merchandising,Bachelors,59000.0,91900.0,36.0
446,Diagnostic Medical Sonography,Bachelors,71700.0,91800.0,86.0
447,Agricultural Business,Bachelors,61400.0,91600.0,58.0
447,Network Administration,Bachelors,54400.0,91600.0,54.0
449,Environmental Biology,Bachelors,50500.0,91300.0,69.0
449,Dental Hygiene,Bachelors,81200.0,91300.0,81.0
451,Journalism & Electronic Media,Bachelors,51400.0,91200.0,46.0
451,Web & Digital Media Development,Bachelors,60400.0,91200.0,35.0
451,Workforce Education & Development,Bachelors,67100.0,91200.0,73.0
454,Diagnostic Medical Ultrasound,Bachelors,73800.0,91100.0,71.0
454,Health Policy & Administration,Bachelors,57300.0,91100.0,63.0
456,Quality Management,Bachelors,66000.0,90800.0,62.0
457,Bachelor of Science in Nursing,Bachelors,72000.0,90700.0,85.0
457,Speech Communication,Bachelors,53300.0,90700.0,56.0
459,Retailing,Bachelors,56700.0,90500.0,33.0
459,Visual Effects & Motion Graphics,Bachelors,54100.0,90500.0,38.0
461,Foreign Languages,Bachelors,55600.0,90300.0,54.0
462,Landscape Architecture,Bachelors,58700.0,90200.0,65.0
463,Global Studies,Bachelors,58100.0,90100.0,47.0
464,American Sign Language Interpreting,Bachelors,49400.0,89900.0,87.0
464,Spanish Language Teacher Education,Bachelors,55100.0,89900.0,-
466,Technical & Scientific Communication,Bachelors,57000.0,89800.0,35.0
467,Broadcast & Cinematic Arts,Bachelors,48000.0,89700.0,41.0
468,Computer Animation,Bachelors,52800.0,89600.0,41.0
468,Geography,Bachelors,56200.0,89600.0,52.0
470,Environmental Resource Management,Bachelors,54100.0,89500.0,64.0
470,Fashion,Bachelors,54900.0,89500.0,39.0
470,Film Studies,Bachelors,51000.0,89500.0,41.0
470,Forestry,Bachelors,52800.0,89500.0,68.0
474,Business Leadership,Bachelors,56800.0,89300.0,43.0
474,Nursing Education,Bachelors,76300.0,89300.0,-
476,English Language,Bachelors,50900.0,89100.0,47.0
477,Ancient History,Bachelors,51700.0,89000.0,-
477,Botany,Bachelors,48700.0,89000.0,71.0
477,Geosciences,Bachelors,55100.0,89000.0,62.0
480,Computer Aided Design (CAD),Bachelors,54700.0,88900.0,-
480,Digital Arts,Bachelors,50800.0,88900.0,36.0
482,Leadership,Bachelors,53700.0,88700.0,55.0
483,Automotive Technology & Service Management,Bachelors,59300.0,88600.0,29.0
483,Business Management & Administration,Bachelors,58500.0,88600.0,53.0
483,Business Management & Human Resources Management (HRM),Bachelors,54600.0,88600.0,-
483,Human Resources Management (HRM),Bachelors,54300.0,88600.0,55.0
483,Radio/Television & Film Production,Bachelors,51200.0,88600.0,40.0
488,Allied Health,Bachelors,49900.0,88500.0,77.0
488,English Language & Literature,Bachelors,52200.0,88500.0,44.0
490,Marine Biology,Bachelors,48500.0,88400.0,64.0
490,Security Management,Bachelors,53900.0,88400.0,-
492,Organizational Leadership,Bachelors,56600.0,88300.0,57.0
492,Public Administration,Bachelors,53000.0,88300.0,57.0
494,Forestry Management,Bachelors,54600.0,88200.0,67.0
494,Management (MGT),Bachelors,52300.0,88200.0,-
496,Merchandising Management,Bachelors,53500.0,88100.0,48.0
497,Administrative Management,Bachelors,59100.0,88000.0,47.0
497,Spanish Language,Bachelors,54300.0,88000.0,49.0
497,Sports Management,Bachelors,51200.0,88000.0,43.0
500,Arts Management,Bachelors,45200.0,87900.0,48.0
500,Homeland Security,Bachelors,55300.0,87900.0,71.0
500,Electronic Media,Bachelors,50700.0,87900.0,37.0
503,3D Animation,Bachelors,56900.0,87800.0,42.0
503,Film Production,Bachelors,50500.0,87800.0,37.0
505,Marine Science,Bachelors,51800.0,87600.0,61.0
506,Information & Communication Technology,Bachelors,53700.0,87500.0,54.0
506,Mass Communication,Bachelors,50700.0,87500.0,45.0
506,Museum Studies,Bachelors,42800.0,87500.0,37.0
506,Technical Writing,Bachelors,63300.0,87500.0,37.0
510,Religious Studies,Bachelors,50700.0,87400.0,52.0
510,Travel Industry Management,Bachelors,58700.0,87400.0,-
512,Art History,Bachelors,53400.0,87200.0,44.0
512,Fashion Merchandising,Bachelors,53300.0,87200.0,30.0
512,Nuclear Medicine Technology,Bachelors,68800.0,87200.0,81.0
515,Marketing & Advertising,Bachelors,55400.0,87100.0,45.0
516,Musicology,Bachelors,48100.0,87000.0,-
517,Broadcast Journalism,Bachelors,49800.0,86800.0,52.0
518,Animation,Bachelors,50900.0,86700.0,35.0
519,Historic Preservation,Bachelors,48300.0,86600.0,-
519,Music Performance,Bachelors,51700.0,86600.0,56.0
519,Organizational Leadership & Supervision,Bachelors,54600.0,86600.0,53.0
522,Multimedia,Bachelors,50400.0,86500.0,45.0
523,Business Technology,Bachelors,59200.0,86400.0,51.0
523,Radiologic Science,Bachelors,64000.0,86400.0,80.0
523,Human Nutrition,Bachelors,55100.0,86400.0,82.0
523,Acting,Bachelors,50400.0,86400.0,48.0
527,Liberal Arts,Bachelors,51400.0,86300.0,52.0
528,Apparel Merchandising,Bachelors,53900.0,86200.0,34.0
528,German Language & Literature,Bachelors,56400.0,86200.0,44.0
528,Organizational Management,Bachelors,55500.0,86200.0,60.0
531,Zoology,Bachelors,46800.0,86100.0,66.0
532,Creative Writing,Bachelors,51200.0,85900.0,41.0
533,Geomatics,Bachelors,57800.0,85800.0,67.0
534,Law Enforcement,Bachelors,52800.0,85700.0,62.0
535,Administration,Bachelors,49200.0,85600.0,59.0
535,Cytotechnology,Bachelors,66800.0,85600.0,86.0
535,Fashion Marketing & Management,Bachelors,54400.0,85600.0,27.0
538,Applied Management,Bachelors,49800.0,85400.0,61.0
538,Management & Leadership,Bachelors,59500.0,85400.0,56.0
540,Human Resources (HR),Bachelors,53800.0,85300.0,55.0
541,Animal Science & Management,Bachelors,51500.0,85200.0,61.0
542,Adult Education & Training,Bachelors,55200.0,85100.0,78.0
543,Agricultural Communication,Bachelors,51300.0,84900.0,49.0
543,Health & Fitness,Bachelors,44100.0,84900.0,71.0
545,Criminal Justice Administration,Bachelors,51900.0,84800.0,61.0
545,Emergency Management,Bachelors,58100.0,84800.0,77.0
545,Media Arts,Bachelors,51300.0,84800.0,33.0
545,Sociology & Anthropology,Bachelors,51200.0,84800.0,53.0
545,Radiology,Bachelors,62300.0,84800.0,81.0
550,Communication Design,Bachelors,58500.0,84700.0,34.0
550,Earth Science,Bachelors,56800.0,84700.0,52.0
550,Modern Languages,Bachelors,57700.0,84700.0,55.0
550,Training and Development,Bachelors,59600.0,84700.0,-
554,Hospital Administration,Bachelors,59800.0,84400.0,53.0
554,Human Relations,Bachelors,51100.0,84400.0,63.0
556,Natural Resources,Bachelors,54200.0,84300.0,58.0
557,Ethnic Studies,Bachelors,54500.0,84200.0,62.0
557,Hotel & Restaurant Management,Bachelors,54200.0,84200.0,49.0
559,Broadcast Communication,Bachelors,45900.0,83800.0,45.0
559,Mass Media,Bachelors,45800.0,83800.0,45.0
561,Advertising & Graphic Design,Bachelors,53000.0,83700.0,39.0
561,Radiologic Technology,Bachelors,62000.0,83700.0,81.0
563,Merchandising,Bachelors,59300.0,83600.0,32.0
563,Romance Languages,Bachelors,57400.0,83600.0,55.0
565,Environmental Health Science,Bachelors,61500.0,83500.0,-
566,Criminology,Bachelors,50700.0,83400.0,54.0
566,Psychology,Bachelors,51000.0,83400.0,56.0
568,Cardiopulmonary Science,Bachelors,56500.0,83200.0,92.0
568,Labor Studies,Bachelors,53700.0,83200.0,51.0
570,Medical Laboratory Technology,Bachelors,64300.0,83000.0,83.0
570,Visual Communications,Bachelors,51200.0,83000.0,34.0
572,Audio Engineering,Bachelors,53800.0,82800.0,40.0
573,Middle Eastern Studies,Bachelors,65300.0,82700.0,47.0
573,Health,Bachelors,49600.0,82700.0,70.0
575,Hospitality Management,Bachelors,53100.0,82600.0,43.0
575,Health Care Management,Bachelors,51700.0,82600.0,75.0
575,Painting & Printmaking,Bachelors,39300.0,82600.0,46.0
578,Multimedia & Web Design,Bachelors,55700.0,82500.0,31.0
579,Health Administration,Bachelors,48700.0,82400.0,66.0
579,Natural Resource Management,Bachelors,52800.0,82400.0,54.0
579,Psychology & Social Behavior,Bachelors,51100.0,82400.0,58.0
582,Communication Management,Bachelors,51700.0,82300.0,45.0
582,Health Sciences,Bachelors,50700.0,82300.0,70.0
582,Nutrition Science,Bachelors,57100.0,82300.0,67.0
582,Web Design,Bachelors,53900.0,82300.0,29.0
586,Health Management,Bachelors,50400.0,82200.0,70.0
586,Life Sciences,Bachelors,59700.0,82200.0,60.0
588,Anthropology,Bachelors,53200.0,82100.0,47.0
588,Music,Bachelors,51000.0,82100.0,55.0
590,Ecology,Bachelors,53200.0,82000.0,59.0
590,Human Resources Development,Bachelors,55200.0,82000.0,51.0
590,SocialStudies,Bachelors,52700.0,82000.0,56.0
593,New Media,Bachelors,51600.0,81900.0,37.0
593,Psychiatry,Bachelors,64300.0,81900.0,50.0
595,Sociology,Bachelors,52800.0,81800.0,55.0
596,Health Care Administration,Bachelors,52100.0,81600.0,68.0
597,Interior Design,Bachelors,51300.0,81500.0,51.0
597,Respiratory Care,Bachelors,61800.0,81500.0,85.0
599,Health Information Management,Bachelors,55000.0,81300.0,68.0
599,Art & Design,Bachelors,51100.0,81300.0,39.0
601,Child Psychology,Bachelors,48400.0,81100.0,62.0
602,Clinical Laboratory Science,Bachelors,61700.0,81000.0,82.0
602,Diagnostic Medical Imaging,Bachelors,68300.0,81000.0,73.0
602,Humanities,Bachelors,55900.0,81000.0,54.0
602,Medical Laboratory Science,Bachelors,62700.0,81000.0,86.0
602,Theater,Bachelors,51200.0,81000.0,49.0
607,Kinesiology,Bachelors,51100.0,80900.0,66.0
608,Exercise Physiology,Bachelors,49100.0,80800.0,75.0
608,Forensic Accounting,Bachelors,51900.0,80800.0,44.0
608,Secondary Education,Bachelors,50700.0,80800.0,58.0
611,Multidisciplinary Studies,Bachelors,49600.0,80700.0,52.0
612,Archaeology,Bachelors,51100.0,80500.0,45.0
612,Communication Arts,Bachelors,47800.0,80500.0,40.0
614,Arts & Science,Bachelors,51700.0,80400.0,-
614,Illustration,Bachelors,51300.0,80400.0,38.0
614,Sustainability,Bachelors,54900.0,80400.0,58.0
617,Hotel & Restaurant Tourism,Bachelors,48900.0,80300.0,-
617,Radiography,Bachelors,62400.0,80300.0,83.0
619,Media Communication,Bachelors,53000.0,80200.0,44.0
619,Respiratory Therapy,Bachelors,61800.0,80200.0,83.0
621,Applied Behavior Analysis,Bachelors,43400.0,80000.0,88.0
622,Technology Teacher Education,Bachelors,54000.0,79800.0,-
623,Professional Studies,Bachelors,47500.0,79300.0,67.0
624,Communications Technology,Bachelors,52500.0,79200.0,32.0
625,Biological Anthropology,Bachelors,52200.0,79000.0,46.0
625,Art Therapy,Bachelors,46100.0,79000.0,84.0
625,Commercial Photography,Bachelors,48900.0,79000.0,28.0
628,Liberal Studies,Bachelors,51000.0,78900.0,56.0
628,Radio & Television,Bachelors,49000.0,78900.0,40.0
630,Nutrition,Bachelors,52800.0,78600.0,65.0
631,Plant Sciences,Bachelors,55500.0,78400.0,57.0
632,Graphic Design,Bachelors,51300.0,78300.0,38.0
633,Legal Studies,Bachelors,53300.0,78200.0,52.0
633,Nutrition & Dietetics,Bachelors,57200.0,78200.0,71.0
635,Turfgrass Management,Bachelors,53300.0,78100.0,38.0
636,Dietetics,Bachelors,57500.0,78000.0,74.0
636,Interdisciplinary Studies (IS),Bachelors,50700.0,78000.0,57.0
638,Fashion Design & Marketing,Bachelors,55900.0,77900.0,50.0
639,Applied Sociology,Bachelors,47500.0,77800.0,57.0
639,Hospital Management,Bachelors,62300.0,77800.0,-
639,Religion,Bachelors,50500.0,77800.0,56.0
642,Medical Technology,Bachelors,61000.0,77700.0,82.0
643,Art Administration,Bachelors,45600.0,77600.0,53.0
643,Criminal Justice,Bachelors,48600.0,77600.0,56.0
643,Fine Arts,Bachelors,49000.0,77600.0,45.0
646,Criminal Law,Bachelors,62800.0,77400.0,-
646,Forensic Science,Bachelors,51300.0,77400.0,63.0
648,Philosophy & Religious Studies,Bachelors,55600.0,77300.0,61.0
648,Public Health (PH),Bachelors,52300.0,77300.0,70.0
650,Speech-Language Pathology,Bachelors,49600.0,77100.0,68.0
651,Landscape Management,Bachelors,58700.0,77000.0,-
651,Women's Studies,Bachelors,51200.0,77000.0,60.0
653,Forensic Psychology,Bachelors,48300.0,76900.0,57.0
653,Modern Language Spanish,Bachelors,51100.0,76900.0,63.0
655,Educational Studies (ED),Bachelors,45300.0,76800.0,66.0
655,Physical Geography,Bachelors,55000.0,76800.0,58.0
657,Culture Studies,Bachelors,50700.0,76700.0,53.0
657,Pastoral Studies,Bachelors,58900.0,76700.0,-
659,Dramatic Art,Bachelors,47100.0,76600.0,-
660,Music Industry,Bachelors,52200.0,76400.0,38.0
661,Performing Arts,Bachelors,51300.0,76300.0,56.0
662,African American & African Studies,Bachelors,54300.0,76100.0,61.0
663,Animal Science,Bachelors,46800.0,76000.0,66.0
663,Ornamental Horticulture,Bachelors,51600.0,76000.0,67.0
665,Hospitality & Tourism,Bachelors,51400.0,75900.0,40.0
666,Education,Bachelors,50600.0,75800.0,65.0
667,Foods & Nutrition,Bachelors,52800.0,75300.0,68.0
668,Fashion & Retail Management,Bachelors,55800.0,75000.0,30.0
669,Music Composition,Bachelors,49400.0,74900.0,52.0
669,Small Business Management,Bachelors,52900.0,74900.0,36.0
671,Clinical Nutrition,Bachelors,58700.0,74800.0,-
672,Painting,Bachelors,47400.0,74700.0,44.0
673,Speech Pathology & Audiology,Bachelors,51400.0,74600.0,75.0
674,Psychology & Sociology,Bachelors,48600.0,74400.0,53.0
674,Physical Education Teaching,Bachelors,48000.0,74400.0,68.0
676,Clinical Psychology,Bachelors,47500.0,74300.0,65.0
677,Health Studies,Bachelors,49500.0,74200.0,64.0
677,Instrumental Music Teacher Education,Bachelors,48000.0,74200.0,69.0
679,Technical Theatre,Bachelors,46400.0,74100.0,41.0
680,Art,Bachelors,49500.0,73900.0,46.0
680,Social & Criminal Justice,Bachelors,49900.0,73900.0,55.0
682,Consumer Affairs,Bachelors,57200.0,73800.0,44.0
682,Family & Consumer Science,Bachelors,49400.0,73800.0,61.0
684,Network Technology,Bachelors,63500.0,73700.0,60.0
685,Photography,Bachelors,49600.0,73600.0,39.0
685,Video Production,Bachelors,48600.0,73600.0,36.0
687,International Trade,Bachelors,54100.0,73400.0,44.0
688,Horticulture & Agronomy,Bachelors,58900.0,73200.0,-
688,Missions,Bachelors,45400.0,73200.0,-
690,General Studies,Bachelors,49600.0,73100.0,53.0
690,Health Services Administration,Bachelors,49000.0,73100.0,64.0
692,Justice Studies,Bachelors,51500.0,73000.0,49.0
693,Culinary Arts,Bachelors,44600.0,72800.0,55.0
693,Physical Therapist Assistant Studies,Bachelors,55100.0,72800.0,-
695,English Teacher Education,Bachelors,48800.0,72600.0,56.0
695,Exercise & Sports Science,Bachelors,48000.0,72600.0,71.0
695,Health & Exercise Science,Bachelors,46900.0,72600.0,66.0
695,Recreation & Leisure Studies,Bachelors,47100.0,72600.0,59.0
695,Sports Administration,Bachelors,49700.0,72600.0,47.0
700,Graphic Arts,Bachelors,48000.0,72400.0,44.0
701,Supervision & Management,Bachelors,48000.0,72100.0,60.0
701,Secondary English Teacher Education,Bachelors,49800.0,72100.0,62.0
703,Exercise Science,Bachelors,47300.0,72000.0,72.0
703,Interior Design & Merchandising,Bachelors,50200.0,72000.0,41.0
705,Health & Wellness,Bachelors,45500.0,71900.0,69.0
706,Restaurant & Food Service Management,Bachelors,50100.0,71800.0,40.0
707,Behavioral Science,Bachelors,49800.0,71700.0,60.0
707,Culinary Arts & Food Service Management,Bachelors,48300.0,71700.0,48.0
707,Event Management,Bachelors,48200.0,71700.0,42.0
707,Theology,Bachelors,49600.0,71700.0,68.0
711,Wildlife Management,Bachelors,44500.0,71600.0,46.0
712,Health & Physical Education Teaching,Bachelors,44000.0,71500.0,62.0
712,Ministry,Bachelors,41500.0,71500.0,80.0
712,Mortuary Science,Bachelors,48800.0,71500.0,78.0
715,Media Production,Bachelors,49000.0,71200.0,35.0
716,Communicative Disorders,Bachelors,53300.0,71000.0,71.0
716,Health Services Management,Bachelors,47400.0,71000.0,87.0
718,Paralegal Studies,Bachelors,45200.0,70800.0,49.0
718,Social Science Teacher Education,Bachelors,51000.0,70800.0,-
720,Recreation Administration,Bachelors,54200.0,70600.0,66.0
720,Rehabilitation Counseling,Bachelors,44100.0,70600.0,-
722,Audio Production,Bachelors,49800.0,70500.0,45.0
722,Radio Broadcasting,Bachelors,51000.0,70500.0,39.0
724,Community Health,Bachelors,52500.0,70300.0,73.0
725,Drawing,Bachelors,43400.0,70100.0,37.0
726,Dance,Bachelors,50600.0,69900.0,59.0
727,Music Teacher Education,Bachelors,47700.0,69800.0,58.0
728,Gender Studies,Bachelors,51200.0,69700.0,55.0
728,Photojournalism,Bachelors,46800.0,69700.0,55.0
730,Family & Community Services,Bachelors,48400.0,69600.0,77.0
731,Conservation Biology,Bachelors,48100.0,69500.0,53.0
731,Drawing & Painting,Bachelors,48900.0,69500.0,45.0
733,Organizational Administration,Bachelors,51100.0,69400.0,-
733,Vocal Performance,Bachelors,48400.0,69400.0,62.0
735,Clinical Social Work (CSW),Bachelors,48600.0,69200.0,-
735,Tourism & Travel,Bachelors,45200.0,69200.0,38.0
735,Tourism Management,Bachelors,48900.0,69200.0,38.0
738,Wildlife Biology,Bachelors,48200.0,68900.0,58.0
739,Teaching English as a Second Language (ESL),Bachelors,48800.0,68800.0,67.0
740,Parks & Recreation Management,Bachelors,49000.0,68700.0,59.0
741,Social Services,Bachelors,44800.0,68500.0,78.0
742,Elementary Special Education,Bachelors,51200.0,68300.0,81.0
743,Ceramics,Bachelors,49500.0,68000.0,45.0
743,Horticulture,Bachelors,48400.0,68000.0,56.0
743,Landscape Design,Bachelors,57100.0,68000.0,62.0
746,Rehabilitation Services,Bachelors,41300.0,67600.0,74.0
746,Speech & Hearing,Bachelors,51400.0,67600.0,72.0
748,Sculpture,Bachelors,44700.0,67200.0,48.0
749,Health Promotion,Bachelors,47700.0,67000.0,71.0
750,Athletic Training,Bachelors,47700.0,66900.0,75.0
751,Family Studies,Bachelors,45000.0,66800.0,60.0
752,History Teacher Education,Bachelors,51800.0,66700.0,47.0
752,Social Studies Teacher Education,Bachelors,49200.0,66700.0,59.0
754,Biblical Studies & Practical Ministries,Bachelors,45400.0,66600.0,-
755,Communication Sciences & Disorders,Bachelors,49900.0,66500.0,75.0
756,Emergency Medical Services (EMS),Bachelors,47300.0,66300.0,-
757,Deaf Studies,Bachelors,43700.0,66100.0,-
758,Community Health Education,Bachelors,48600.0,65800.0,70.0
759,Musical Theatre,Bachelors,50000.0,65500.0,46.0
760,Pastoral Ministry,Bachelors,43500.0,65200.0,76.0
761,Bible Studies & Theology,Bachelors,44800.0,65100.0,68.0
762,Biblical Studies,Bachelors,47000.0,65000.0,71.0
763,Christian Ministry,Bachelors,43000.0,64500.0,75.0
764,Human Development & Family Studies,Bachelors,45400.0,64400.0,63.0
765,Church Ministries,Bachelors,43600.0,64300.0,79.0
766,Community Development,Bachelors,50300.0,63600.0,69.0
767,Music Therapy,Bachelors,48500.0,63500.0,95.0
768,Voice & Opera,Bachelors,38700.0,63200.0,53.0
769,Legal Assistant Studies,Bachelors,42000.0,63000.0,39.0
770,Health and Human Services,Bachelors,48800.0,62900.0,64.0
771,Home Economics,Bachelors,47700.0,62800.0,69.0
772,Special Education,Bachelors,46400.0,62700.0,75.0
773,Conflict Resolution,Bachelors,52000.0,62100.0,50.0
774,Educational Psychology,Bachelors,45900.0,61800.0,-
774,Developmental Psychology,Bachelors,42900.0,61800.0,-
776,Youth Ministry,Bachelors,42800.0,61700.0,74.0
777,Therapeutic Recreation,Bachelors,44900.0,61500.0,83.0
778,Community & Human Services,Bachelors,48100.0,61300.0,79.0
778,Social Work (SW),Bachelors,43300.0,61300.0,76.0
780,Elementary Education,Bachelors,45800.0,60700.0,68.0
781,Office Administration,Bachelors,43400.0,60500.0,67.0
782,Christian Education,Bachelors,45300.0,60300.0,84.0
783,Counseling,Bachelors,45100.0,59600.0,79.0
783,Human Services (HS),Bachelors,44400.0,59600.0,70.0
785,Health & Human Performance,Bachelors,43000.0,58900.0,67.0
786,Mental Health Counseling,Bachelors,40600.0,58500.0,-
786,Middle School Education,Bachelors,47200.0,58500.0,76.0
788,Child Development,Bachelors,42200.0,57900.0,73.0
789,Recreational Therapy,Bachelors,44900.0,57200.0,84.0
790,Early Childhood & Elementary Education,Bachelors,43400.0,56500.0,76.0
791,Outdoor Education,Bachelors,42200.0,55200.0,51.0
792,Baking & Pastry Arts,Bachelors,42400.0,54900.0,38.0
793,Mental Health,Bachelors,42700.0,52900.0,76.0
794,Child & Family Studies,Bachelors,41600.0,52700.0,73.0
795,Equine Studies,Bachelors,40300.0,52500.0,50.0
796,Addictions Counseling,Bachelors,45900.0,52200.0,78.0
797,Nonprofit Administration,Bachelors,42800.0,52100.0,72.0
798,Early Childhood Education,Bachelors,41700.0,50600.0,77.0
799,Metalsmithing,Bachelors,44700.0,44900.0,36.0
